pref,region_code,region_name,CKD,心血管,糖尿病,composite_score,risk_rank,risk_tier
青森県,0202,八戸地域,58.125032129795144,55.386983547084654,78.51005529710588,64.00735699132855,1,高リスク
茨城県,0802,日立,54.74083816774895,62.85158738160673,71.63981993933032,63.077415162895335,2,高リスク
新潟県,1507,佐渡,69.46159896381741,62.25627155369653,55.56025381759763,62.42604144503719,3,高リスク
鹿児島県,4612,奄美,71.85318474615967,53.91730947861749,56.27730886686187,60.682601030546344,4,高リスク
沖縄県,4704,宮古,69.84194480504087,58.60574065636725,52.17391120472753,60.20719888871188,5,高リスク
北海道,0120,釧路,63.786107255620806,54.85701383730362,61.60667438297598,60.08326515863347,6,高リスク
石川県,1704,能登北部,56.04611590334362,60.99775737114183,60.39188765523792,59.14525364324112,7,高リスク
北海道,0107,中空知,54.46859028788107,52.87254489424012,67.9725567123489,58.43789729815669,8,高リスク
沖縄県,4702,中部,53.41940055665467,57.469246737914695,63.75115652482602,58.21326793979846,9,高リスク
福岡県,4010,直方・鞍手,53.70186477445233,54.76568815428058,65.74731212185912,58.07162168353068,10,高リスク
宮城県,0409,石巻・登米・気仙沼,48.24994388020741,58.55863292072659,66.62649155653952,57.81168945249117,11,高リスク
山口県,3506,下関,58.881143428270484,60.201630041512054,53.800529499392226,57.62776765639159,12,高リスク
沖縄県,4701,北部,46.18583313414108,68.3960247432803,57.861071481108866,57.480976452843414,13,高リスク
青森県,0205,上十三地域,56.595570406402274,52.627411894764435,63.01528054210762,57.412754281091445,14,高リスク
愛媛県,3802,新居浜・西条,63.761728837757204,55.743265694381904,52.65457175559088,57.38652209591,15,高リスク
福島県,0706,相双,45.19377240116705,56.27690283488971,70.66268745388527,57.37778756331401,16,高リスク
高知県,3902,中央,61.390695950314125,48.6287737599849,61.603145749735994,57.207538486678345,17,高リスク
高知県,3904,幡多,56.931654109190106,53.62327926224498,61.00972211480237,57.188218495412485,18,高リスク
群馬県,1004,高崎・安中,62.318238231279956,50.92088856765862,57.95845633676927,57.06586104523595,19,高リスク
福岡県,4012,北九州,56.401300142745455,55.113619679756596,59.57625768491431,57.030392502472125,20,高リスク
富山県,1603,高岡,61.04817162188972,49.412180691613514,60.46028512140372,56.97354581163565,21,高リスク
北海道,0101,南渡島,55.414131964948965,57.47579122997769,57.821006473520185,56.90364322281562,22,高リスク
茨城県,0804,鹿行,48.202894898565944,55.3470703463298,67.00923083219718,56.85306535903097,23,高リスク
愛媛県,3803,今治,58.96685586398266,61.24144527428893,49.94826213801265,56.71885442542808,24,高リスク
和歌山県,3001,和歌山,60.011766174622,55.77873864175446,53.685241166936876,56.49191532777112,25,高リスク
愛媛県,3806,宇和島,57.16338246863265,57.8324506307097,53.90910302007079,56.30164537313772,26,高リスク
高知県,3901,安芸,46.01817664732877,66.6232540210575,55.707784820777334,56.11640516305454,27,高リスク
沖縄県,4703,南部,57.0765502358975,50.94797818343528,60.1764184879809,56.066982302437886,28,高リスク
三重県,2404,東紀州,47.17981549016686,59.42408519170549,61.09642639073371,55.90010902420202,29,高リスク
群馬県,1001,前橋,58.514224039738956,52.66066171225736,56.10183792956599,55.75890789385411,30,高リスク
福岡県,4008,有明,54.51731104874379,51.8990161407267,60.65114257813567,55.68915658920205,31,高リスク
愛媛県,3801,宇摩,57.93498073957936,55.70860318740884,52.80877535527315,55.48411976075378,32,高リスク
千葉県,1208,君津,55.407358932654525,54.03808629770036,56.90244980886635,55.44929834640707,33,高リスク
青森県,0201,津軽地域,57.11252305713711,52.18894032738195,56.19136794617252,55.16427711023053,34,高リスク
茨城県,0808,筑西・下妻,48.0350067892359,50.58796433423885,66.59857254899896,55.07384789082457,35,高リスク
茨城県,0809,古河・坂東,45.96456469202896,52.50325275532811,66.6086925514912,55.02550333294943,36,高リスク
徳島県,3601,東部,67.39887481478705,49.410675863249324,48.2357973205286,55.01511599952166,37,高リスク
熊本県,4311,天草,50.00512965694338,52.38495077016366,62.619702107750264,55.00326084495244,38,高リスク
北海道,0115,留萌,48.20401275977426,53.276953601941166,63.46730167954247,54.982756013752635,39,高リスク
群馬県,1009,桐生,59.724041859834784,51.2453110693057,53.90282055694862,54.9573911620297,40,高リスク
北海道,0118,遠紋,43.90711712899309,57.17800745018139,63.6355993999015,54.90690799302533,41,高リスク
鹿児島県,4610,肝属,51.91467034538256,47.5777921809596,65.12710630201465,54.873189609452275,42,高リスク
北海道,0117,北網,52.84856532543638,52.753445395740314,58.95943330028787,54.853814673821525,43,高リスク
茨城県,0805,土浦,49.80448871413292,51.96307922343088,62.595217531332516,54.78759515629878,44,高リスク
鹿児島県,4601,鹿児島,58.02818735142205,47.59721700624415,58.429560114619235,54.68498815742848,45,高リスク
熊本県,4302,宇城,48.69824229115807,49.070276514801265,65.91038601262711,54.55963493952881,46,高リスク
広島県,3403,呉,56.87699385607112,55.342184343700175,51.45146411190748,54.55688077055959,47,高リスク
北海道,0109,西胆振,47.59349456970196,56.702331535941,59.2550115719449,54.516945892529286,48,高リスク
愛知県,2305,尾張西部,61.41329066004391,50.91486555851838,51.19605932902016,54.50807184919415,49,高リスク
富山県,1602,富山,55.32230882908614,51.76594573721119,56.17162503626129,54.41995986751954,50,高リスク
愛知県,2307,知多半島,57.714565122586464,49.881332975357466,55.393621582070814,54.32983989333824,51,高リスク
栃木県,0906,両毛,50.51002099093976,57.043767234247014,55.41501918649188,54.32293580389288,52,高リスク
