region_code,pref,region_name,crude_score,crude_rank,adj_score,adj_rank,rank_change
0202,青森県,八戸地域,63.28370229252594,4,64.00735699132855,1,3
0802,茨城県,日立,61.635748489826106,9,63.077415162895335,2,7
1507,新潟県,佐渡,70.17446652982757,1,62.42604144503719,3,-2
4612,鹿児島県,奄美,62.100376332239335,7,60.682601030546344,4,3
4704,沖縄県,宮古,68.92094155500423,2,60.20719888871188,5,-3
0120,北海道,釧路,58.6096368246783,15,60.08326515863347,6,9
1704,石川県,能登北部,60.87104103556436,10,59.14525364324112,7,3
0107,北海道,中空知,56.81006348248879,22,58.43789729815669,8,14
4702,沖縄県,中部,53.2709419325528,69,58.21326793979846,9,60
4010,福岡県,直方・鞍手,55.55331783521186,36,58.07162168353068,10,26
0409,宮城県,石巻・登米・気仙沼,55.72626133599852,33,57.81168945249117,11,22
3506,山口県,下関,54.96189438045419,41,57.62776765639159,12,29
4701,沖縄県,北部,60.69059482893709,12,57.480976452843414,13,-1
0205,青森県,上十三地域,57.403760867828886,19,57.412754281091445,14,5
3802,愛媛県,新居浜・西条,54.33807581097036,47,57.38652209591,15,32
0706,福島県,相双,56.42521089548958,23,57.37778756331401,16,7
3902,高知県,中央,52.14326039607821,96,57.207538486678345,17,79
3904,高知県,幡多,58.61610642758973,14,57.188218495412485,18,-4
1004,群馬県,高崎・安中,54.765614362630494,43,57.06586104523595,19,24
4012,福岡県,北九州,53.45749332392023,65,57.030392502472125,20,45
1603,富山県,高岡,53.455227336231154,66,56.97354581163565,21,45
0101,北海道,南渡島,53.51859687130983,63,56.90364322281562,22,41
0804,茨城県,鹿行,53.18798565491122,74,56.85306535903097,23,51
3803,愛媛県,今治,56.10510104429353,27,56.71885442542808,24,3
3001,和歌山県,和歌山,55.56258680862405,35,56.49191532777112,25,10
3806,愛媛県,宇和島,54.31474573295433,48,56.30164537313772,26,22
3901,高知県,安芸,65.55589141305686,3,56.11640516305454,27,-24
4703,沖縄県,南部,50.24865737857931,150,56.066982302437886,28,122
2404,三重県,東紀州,60.74529703252679,11,55.90010902420202,29,-18
1001,群馬県,前橋,54.030003233383376,55,55.75890789385411,30,25
4008,福岡県,有明,54.61574833730784,44,55.68915658920205,31,13
3801,愛媛県,宇摩,53.042755480678856,77,55.48411976075378,32,45
1208,千葉県,君津,54.41978569523015,46,55.44929834640707,33,13
0201,青森県,津軽地域,53.26034155424935,70,55.16427711023053,34,36
0808,茨城県,筑西・下妻,50.84691180939931,134,55.07384789082457,35,99
0809,茨城県,古河・坂東,51.93427090079825,103,55.02550333294943,36,67
3601,徳島県,東部,52.58949101936114,88,55.01511599952166,37,51
4311,熊本県,天草,56.082951278934765,29,55.00326084495244,38,-9
0115,北海道,留萌,62.09339029351512,8,54.982756013752635,39,-31
1009,群馬県,桐生,54.23618372199104,49,54.9573911620297,40,9
0118,北海道,遠紋,55.87957475406199,31,54.90690799302533,41,-10
4610,鹿児島県,肝属,55.03844492709174,40,54.873189609452275,42,-2
0117,北海道,北網,52.85850337664922,83,54.853814673821525,43,40
0805,茨城県,土浦,51.72737626399712,112,54.78759515629878,44,68
4601,鹿児島県,鹿児島,52.493707766073534,91,54.68498815742848,45,46
4302,熊本県,宇城,55.83183925043718,32,54.55963493952881,46,-14
3403,広島県,呉,52.050738316251234,98,54.55688077055959,47,51
0109,北海道,西胆振,52.591606851007306,87,54.516945892529286,48,39
2305,愛知県,尾張西部,50.98834492741677,128,54.50807184919415,49,79
1602,富山県,富山,49.71289487718119,166,54.41995986751954,50,116
2307,愛知県,知多半島,51.14505180533308,125,54.32983989333824,51,74
0906,栃木県,両毛,51.6766805041288,113,54.32293580389288,52,61
4303,熊本県,有明,53.143643523462224,75,54.22524697822808,53,22
4607,鹿児島県,姶良・伊佐,53.2238552150911,72,54.19507869145792,54,18
0121,北海道,根室,54.08449146588774,53,54.14101406626543,55,-2
1505,新潟県,魚沼,54.80081053620322,42,54.08509370176373,56,-14
3305,岡山県,津山・英田,51.37606079175353,116,54.05451400112813,57,59
4705,沖縄県,八重山,62.349514781442544,6,54.027238476259235,58,-52
4609,鹿児島県,曽於,62.35158448374807,5,53.974850500737126,59,-54
0111,北海道,日高,56.36204010817314,26,53.93924079128809,60,-34
2309,愛知県,西三河南部西,49.22082529906756,181,53.797332911716495,61,120
0501,秋田県,大館・鹿角,53.289939913344845,68,53.73242940897538,62,6
4009,福岡県,飯塚,51.36632880288854,118,53.72133398836646,63,55
0406,宮城県,大崎・栗原,51.64673058573634,114,53.72010397307535,64,50
2312,愛知県,東三河南部,49.82064401535566,163,53.71145213042704,65,98
0602,山形県,最上,56.09019499676946,28,53.61839984707501,66,-38
1703,石川県,能登中部,53.471336364807456,64,53.61564459807621,67,-3
1003,群馬県,伊勢崎,50.94955864215484,131,53.5445688130795,68,63
3406,広島県,福山・府中,49.55731227144025,168,53.49642704397769,69,99
1702,石川県,石川中央,49.266852057940646,179,53.39310398660414,70,109
2812,兵庫県,播磨姫路,51.19524538403608,123,53.36422572509478,71,52
4011,福岡県,田川,51.90704314404034,104,53.328655871909724,72,32
0807,茨城県,取手・竜ヶ崎,50.41096943295545,144,53.24738985293437,73,71
1206,千葉県,山武長生夷隅,51.35333350377582,119,53.1329435454224,74,45
4312,熊本県,熊本・上益城,49.3857500659201,173,53.1202745609105,75,98
0503,秋田県,能代・山本,54.11293564714267,52,53.067799513274274,76,-24
0801,茨城県,水戸,48.78002776817488,204,53.000572069263804,77,127
1209,千葉県,市原,52.751344615376176,85,52.99557197233252,78,7
0301,岩手県,盛岡,50.36856043154848,146,52.95553204991982,79,67
1103,埼玉県,東部,48.86594523347336,199,52.91991582895869,80,119
3301,岡山県,県南東部,48.784570403853614,203,52.88122221356348,81,122
3302,岡山県,県南西部,48.51904475508002,213,52.84787923965977,82,131
4611,鹿児島県,熊毛,58.50053194030013,16,52.817989532295435,83,-67
4308,熊本県,八代,50.7046530289768,137,52.80901142884772,84,53
0110,北海道,東胆振,51.09851113592091,126,52.78522563434364,85,41
0203,青森県,青森地域,50.38346968317614,145,52.710572822231946,86,59
0403,宮城県,仙台,47.74559296580781,236,52.70126644511521,87,149
4409,大分県,北部,48.44585567328725,218,52.68973527694842,88,130
0119,北海道,十勝,51.23531751054708,121,52.688423995115365,89,32
0506,秋田県,大仙・仙北,51.83014915761702,107,52.656598475524724,90,17
4403,大分県,中部,49.00172387856396,190,52.6512683630906,91,99
0707,福島県,いわき,51.36952833320591,117,52.649806852362325,92,25
4606,鹿児島県,出水,56.42219654787728,24,52.520717835639175,93,-69
1701,石川県,南加賀,49.721846969723,165,52.49548107774544,94,71
3505,山口県,宇部・小野田,51.95630344951079,102,52.4605029772621,95,7
1010,群馬県,太田・館林,50.27852369935865,149,52.44225405195962,96,53
3401,広島県,広島,47.86403190107083,233,52.390916770448854,97,136
4202,長崎県,佐世保県北,50.61674242557823,140,52.37493271628375,98,42
1306,東京都,区東北部,48.71064400212212,206,52.37213385892759,99,107
4101,佐賀県,中部,50.57299031393447,141,52.36377332731562,100,41
3006,和歌山県,田辺,53.36483113589367,67,52.33619751598999,101,-34
0401,宮城県,仙南,50.29148567591323,148,52.32339506659963,102,46
3002,和歌山県,那賀,52.9742434847166,80,52.30470011300156,103,-23
3804,愛媛県,松山,48.49178855066455,215,52.28829837504842,104,111
2203,静岡県,駿東田方,50.19447635265675,153,52.2763399860112,105,48
2804,兵庫県,東播磨,49.02165892992759,187,52.27280030743162,106,81
2703,大阪府,北河内,48.88460507128962,198,52.25817603607163,107,91
0307,岩手県,宮古,53.70084728302877,60,52.15033943136964,108,-48
0702,福島県,県中,50.222384671792106,151,52.08971423109142,109,42
2101,岐阜県,岐阜,49.39065178360019,172,52.04438539493668,110,62
0803,茨城県,常陸太田・ひたちなか,50.21167258513436,152,52.02822081511582,111,41
1108,埼玉県,利根,50.36003881162146,147,52.00176103093156,112,35
2306,愛知県,尾張北部,48.25052427183681,222,51.967741092799095,113,109
0105,北海道,後志,50.03771602120355,159,51.877719757573836,114,45
2706,大阪府,堺市,48.637867447994985,207,51.87233940464193,115,92
4002,福岡県,粕屋,47.274435370677374,246,51.86587316679505,116,130
2708,大阪府,大阪市,46.194177476142364,271,51.67444077782711,117,154
2704,大阪府,中河内,48.22733786233758,224,51.582700781473214,118,106
4502,宮崎県,都城北諸県,51.21170806307816,122,51.539832148416075,119,3
4605,鹿児島県,川薩,53.0369568716192,78,51.51933908979422,120,-42
4603,鹿児島県,南薩,56.402037565928026,25,51.513484987875096,121,-96
2707,大阪府,泉州,49.093385600099,184,51.49869750173167,122,62
1503,新潟県,県央,49.15040214940439,182,51.461038008838585,123,59
0116,北海道,宗谷,52.88214109958832,82,51.46077758954335,124,-42
0806,茨城県,つくば,45.664107154083815,280,51.44387852683207,125,155
4006,福岡県,久留米,48.49147519761567,216,51.42043671579912,126,90
3605,徳島県,西部,57.8425798124665,17,51.409983000930644,127,-110
1604,富山県,砺波,53.661556274845616,62,51.40632655974242,128,-66
1904,山梨県,富士・東部,52.24182455239603,95,51.37869336985341,129,-34
0302,岩手県,岩手中部,48.433080516472266,220,51.335069021826904,130,90
2705,大阪府,南河内,51.270859842513175,120,51.32503613883026,131,-11
3503,山口県,周南,50.14681935216091,155,51.30871619986345,132,23
