pref,region_code,region_name,domain,domain_score,n_indicators,indicators
三重県,2401,北勢,CKD,47.0389291166627,2,"eGFR, 尿蛋白"
三重県,2401,北勢,心血管,49.877870567023976,4,"LDL, 中性脂肪, 収縮期血圧, 心電図"
三重県,2401,北勢,糖尿病,45.93769661427784,2,"HbA1c, 空腹時血糖"
三重県,2402,中勢伊賀,CKD,47.147741899304236,2,"eGFR, 尿蛋白"
三重県,2402,中勢伊賀,心血管,47.65714375209538,4,"LDL, 中性脂肪, 収縮期血圧, 心電図"
三重県,2402,中勢伊賀,糖尿病,44.050565549043675,2,"HbA1c, 空腹時血糖"
三重県,2403,南勢志摩,CKD,48.93510954642417,2,"eGFR, 尿蛋白"
三重県,2403,南勢志摩,心血管,50.219579997301366,4,"LDL, 中性脂肪, 収縮期血圧, 心電図"
三重県,2403,南勢志摩,糖尿病,53.99057529373668,2,"HbA1c, 空腹時血糖"
三重県,2404,東紀州,CKD,54.812533674311936,2,"eGFR, 尿蛋白"
三重県,2404,東紀州,心血管,61.70998526095238,4,"LDL, 中性脂肪, 収縮期血圧, 心電図"
三重県,2404,東紀州,糖尿病,65.71337216231603,2,"HbA1c, 空腹時血糖"
京都府,2601,丹後,CKD,38.94151988083722,2,"eGFR, 尿蛋白"
京都府,2601,丹後,心血管,48.07398548359302,4,"LDL, 中性脂肪, 収縮期血圧, 心電図"
京都府,2601,丹後,糖尿病,38.696417168949154,2,"HbA1c, 空腹時血糖"
京都府,2602,中丹,CKD,51.353944111893526,2,"eGFR, 尿蛋白"
京都府,2602,中丹,心血管,47.95854629056163,4,"LDL, 中性脂肪, 収縮期血圧, 心電図"
京都府,2602,中丹,糖尿病,37.78458713536296,2,"HbA1c, 空腹時血糖"
京都府,2603,南丹,CKD,51.144110561533026,2,"eGFR, 尿蛋白"
京都府,2603,南丹,心血管,43.78050917623417,4,"LDL, 中性脂肪, 収縮期血圧, 心電図"
京都府,2603,南丹,糖尿病,39.26434628048404,2,"HbA1c, 空腹時血糖"
京都府,2604,京都・乙訓,CKD,50.843333037062045,2,"eGFR, 尿蛋白"
京都府,2604,京都・乙訓,心血管,42.55078946304166,4,"LDL, 中性脂肪, 収縮期血圧, 心電図"
京都府,2604,京都・乙訓,糖尿病,34.99518926754148,2,"HbA1c, 空腹時血糖"
京都府,2605,山城北,CKD,53.87727607401803,2,"eGFR, 尿蛋白"
京都府,2605,山城北,心血管,45.82956806309296,4,"LDL, 中性脂肪, 収縮期血圧, 心電図"
京都府,2605,山城北,糖尿病,43.38665922005462,2,"HbA1c, 空腹時血糖"
京都府,2606,山城南,CKD,47.38792269791617,2,"eGFR, 尿蛋白"
京都府,2606,山城南,心血管,42.11340140442668,4,"LDL, 中性脂肪, 収縮期血圧, 心電図"
京都府,2606,山城南,糖尿病,36.84506479897637,2,"HbA1c, 空腹時血糖"
佐賀県,4101,中部,CKD,47.53108925578057,2,"eGFR, 尿蛋白"
佐賀県,4101,中部,心血管,48.85999620002647,4,"LDL, 中性脂肪, 収縮期血圧, 心電図"
