pref,region_code,region_name,indicator,domain,n_total,n_risk,risk_rate,n_male,n_risk_male,risk_rate_male,n_female,n_risk_female,risk_rate_female
三重県,2401,北勢,HbA1c,糖尿病,163623,12308,0.0752216986609462,87878,8486,0.09656569334759553,75745,3822,0.050458776156842036
三重県,2402,中勢伊賀,HbA1c,糖尿病,76836,5747,0.07479566869696497,41358,4041,0.09770781952705643,35478,1706,0.048086137888268786
三重県,2403,南勢志摩,HbA1c,糖尿病,87088,7865,0.09031094984383611,44524,5233,0.11753211750965771,42564,2632,0.061836293581430314
三重県,2404,東紀州,HbA1c,糖尿病,11116,1098,0.09877653832313782,5868,760,0.12951601908657123,5248,338,0.06440548780487805
京都府,2601,丹後,HbA1c,糖尿病,18617,1296,0.06961379384433582,9714,917,0.09439983528927322,8903,379,0.042569920251600585
京都府,2602,中丹,HbA1c,糖尿病,32275,2136,0.06618125484120836,17284,1487,0.08603332561906966,14991,649,0.04329264225201788
京都府,2603,南丹,HbA1c,糖尿病,23383,1559,0.06667236881495103,11695,1085,0.09277469003847798,11688,474,0.04055441478439425
京都府,2604,京都・乙訓,HbA1c,糖尿病,252927,15322,0.060578744064492915,130843,11008,0.08413136354256628,122084,4314,0.03533632580845975
京都府,2605,山城北,HbA1c,糖尿病,80895,6065,0.07497373138018419,41095,4037,0.09823579510889402,39800,2028,0.050954773869346735
京都府,2606,山城南,HbA1c,糖尿病,22473,1466,0.06523383615894629,11738,1034,0.08808996421877663,10735,432,0.04024219841639497
佐賀県,4101,中部,HbA1c,糖尿病,47439,4404,0.09283500916967052,24701,2961,0.11987368932431886,22738,1443,0.06346204591432844
佐賀県,4102,東部,HbA1c,糖尿病,20428,2000,0.09790483649892305,11344,1350,0.11900564174894217,9084,650,0.07155438132981065
佐賀県,4103,北部,HbA1c,糖尿病,14160,1475,0.10416666666666667,7558,962,0.12728234982799683,6602,513,0.07770372614359285
佐賀県,4104,西部,HbA1c,糖尿病,9617,944,0.09815950920245399,4899,583,0.11900387834251888,4718,361,0.0765154726579059
佐賀県,4105,南部,HbA1c,糖尿病,22115,2168,0.09803300926972643,11157,1355,0.12144841803352155,10958,813,0.07419237087059682
兵庫県,2801,神戸,HbA1c,糖尿病,291437,18539,0.06361237591657888,156293,13606,0.08705444261739169,135144,4933,0.03650180548156041
兵庫県,2804,東播磨,HbA1c,糖尿病,123576,9076,0.07344468181523921,68900,6490,0.0941944847605225,54676,2586,0.047296802984856244
兵庫県,2805,北播磨,HbA1c,糖尿病,47430,3697,0.07794644739616277,25571,2624,0.10261624496499941,21859,1073,0.04908733244887689
兵庫県,2808,但馬,HbA1c,糖尿病,34206,2379,0.06954920189440449,18089,1679,0.09281884017911438,16117,700,0.043432400570825834
兵庫県,2809,丹波,HbA1c,糖尿病,17903,1317,0.07356308998491873,9951,982,0.0986835493920209,7952,335,0.042127766599597584
兵庫県,2810,淡路,HbA1c,糖尿病,22842,1577,0.06903948866123807,11169,1074,0.09615901154982541,11673,503,0.043090893514949026
兵庫県,2811,阪神,HbA1c,糖尿病,333031,20314,0.060997324573388065,176037,14953,0.08494237006992848,156994,5361,0.03414780182682141
兵庫県,2812,播磨姫路,HbA1c,糖尿病,143996,11486,0.07976610461401705,77560,7906,0.1019339865910263,66436,3580,0.053886447106990185
北海道,0101,南渡島,HbA1c,糖尿病,45219,3479,0.07693668590636679,22111,2305,0.10424675500881914,23108,1174,0.05080491604639086
北海道,0102,南檜山,HbA1c,糖尿病,2711,260,0.09590556990040576,1469,184,0.12525527569775358,1242,76,0.061191626409017714
