pref,region_code,region_name,indicator,domain,n_total,n_risk,risk_rate,n_male,n_risk_male,risk_rate_male,n_female,n_risk_female,risk_rate_female,z_score,deviation_value
三重県,2401,北勢,HbA1c,糖尿病,163623,12308,0.0752216986609462,87878,8486,0.0965656933475955,75745,3822,0.050458776156842,-0.39617871243689334,46.03821287563107
三重県,2402,中勢伊賀,HbA1c,糖尿病,76836,5747,0.0747956686969649,41358,4041,0.0977078195270564,35478,1706,0.0480861378882687,-0.43190740433740304,45.68092595662597
三重県,2403,南勢志摩,HbA1c,糖尿病,87088,7865,0.0903109498438361,44524,5233,0.1175321175096577,42564,2632,0.0618362935814303,0.8692703219097418,58.69270321909742
三重県,2404,東紀州,HbA1c,糖尿病,11116,1098,0.0987765383231378,5868,760,0.1295160190865712,5248,338,0.064405487804878,1.5792307193120887,65.79230719312089
京都府,2601,丹後,HbA1c,糖尿病,18617,1296,0.0696137938443358,9714,917,0.0943998352892732,8903,379,0.0425699202516005,-0.8664815557572039,41.33518444242796
京都府,2602,中丹,HbA1c,糖尿病,32275,2136,0.0661812548412083,17284,1487,0.0860333256190696,14991,649,0.0432926422520178,-1.154348933284214,38.45651066715786
京都府,2603,南丹,HbA1c,糖尿病,23383,1559,0.066672368814951,11695,1085,0.0927746900384779,11688,474,0.0405544147843942,-1.113162018420503,38.86837981579497
京都府,2604,京都・乙訓,HbA1c,糖尿病,252927,15322,0.0605787440644929,130843,11008,0.0841313635425662,122084,4314,0.0353363258084597,-1.6241994093867207,33.758005906132794
京都府,2605,山城北,HbA1c,糖尿病,80895,6065,0.0749737313801841,41095,4037,0.098235795108894,39800,2028,0.0509547738693467,-0.41697430740623065,45.83025692593769
京都府,2606,山城南,HbA1c,糖尿病,22473,1466,0.0652338361589462,11738,1034,0.0880899642187766,10735,432,0.0402421984163949,-1.2338035093966464,37.66196490603353
佐賀県,4101,中部,HbA1c,糖尿病,47439,4404,0.0928350091696705,24701,2961,0.1198736893243188,22738,1443,0.0634620459143284,1.0809487145481118,60.809487145481114
佐賀県,4102,東部,HbA1c,糖尿病,20428,2000,0.097904836498923,11344,1350,0.1190056417489421,9084,650,0.0715543813298106,1.5061260822217035,65.06126082221704
佐賀県,4103,北部,HbA1c,糖尿病,14160,1475,0.1041666666666666,7558,962,0.1272823498279968,6602,513,0.0777037261435928,2.031269897707991,70.31269897707992
佐賀県,4104,西部,HbA1c,糖尿病,9617,944,0.0981595092024539,4899,583,0.1190038783425188,4718,361,0.0765154726579059,1.5274840225761643,65.27484022576164
佐賀県,4105,南部,HbA1c,糖尿病,22115,2168,0.0980330092697264,11157,1355,0.1214484180335215,10958,813,0.0741923708705968,1.5168751980709125,65.16875198070912
兵庫県,2801,神戸,HbA1c,糖尿病,291437,18539,0.0636123759165788,156293,13606,0.0870544426173916,135144,4933,0.0365018054815604,-1.3697860888543982,36.302139111456015
兵庫県,2804,東播磨,HbA1c,糖尿病,123576,9076,0.0734446818152392,68900,6490,0.0941944847605225,54676,2586,0.0472968029848562,-0.545206932867575,44.54793067132425
兵庫県,2805,北播磨,HbA1c,糖尿病,47430,3697,0.0779464473961627,25571,2624,0.1026162449649994,21859,1073,0.0490873324488768,-0.16766964899663814,48.32330351003362
兵庫県,2808,但馬,HbA1c,糖尿病,34206,2379,0.0695492018944044,18089,1679,0.0928188401791143,16117,700,0.0434324005708258,-0.8718985124819975,41.28101487518003
兵庫県,2809,丹波,HbA1c,糖尿病,17903,1317,0.0735630899849187,9951,982,0.0986835493920209,7952,335,0.0421277665995975,-0.5352767181628459,44.64723281837154
兵庫県,2810,淡路,HbA1c,糖尿病,22842,1577,0.069039488661238,11169,1074,0.0961590115498254,11673,503,0.043090893514949,-0.9146452406586429,40.853547593413566
兵庫県,2811,阪神,HbA1c,糖尿病,333031,20314,0.060997324573388,176037,14953,0.0849423700699284,156994,5361,0.0341478018268214,-1.5890954605984426,34.109045394015574
兵庫県,2812,播磨姫路,HbA1c,糖尿病,143996,11486,0.079766104614017,77560,7906,0.1019339865910263,66436,3580,0.0538864471069901,-0.015065424885989534,49.849345751140106
北海道,101,南渡島,HbA1c,糖尿病,45219,3479,0.0769366859063667,22111,2305,0.1042467550088191,23108,1174,0.0508049160463908,-0.2523525591487145,47.47647440851286
北海道,102,南檜山,HbA1c,糖尿病,2711,260,0.0959055699004057,1469,184,0.1252552756977535,1242,76,0.0611916264090177,1.3384590485279448,63.384590485279446
北海道,103,北渡島檜山,HbA1c,糖尿病,4457,372,0.0834642135965896,2491,271,0.1087916499397832,1966,101,0.0513733468972533,0.2950737850843265,52.95073785084327
北海道,104,札幌,HbA1c,糖尿病,319445,20157,0.0631000641738014,173753,15402,0.088643073788654,145692,4755,0.0326373445350465,-1.4127507391424938,35.87249260857506
北海道,105,後志,HbA1c,糖尿病,27830,2217,0.0796622349982033,14745,1559,0.1057307561885384,13085,658,0.0502865876958349,-0.023776374384825206,49.762236256151745
北海道,106,南空知,HbA1c,糖尿病,21038,1901,0.0903603004087841,11101,1315,0.1184577965949013,9937,586,0.0589715205796518,0.8734090710100759,58.73409071010076
北海道,107,中空知,HbA1c,糖尿病,16276,1609,0.0988572130744654,8297,1065,0.1283596480655658,7979,544,0.0681789697957137,1.585996448434514,65.85996448434514
北海道,108,北空知,HbA1c,糖尿病,5158,496,0.0961613028305544,2746,346,0.1260014566642389,2412,150,0.0621890547263681,1.3599059040136732,63.59905904013673
北海道,109,西胆振,HbA1c,糖尿病,23456,1878,0.0800648021828103,11812,1244,0.1053166271588215,11644,634,0.05444864307798,0.009984628652769504,50.09984628652769
北海道,110,東胆振,HbA1c,糖尿病,41238,3165,0.0767495998836025,23567,2240,0.0950481605634998,17671,925,0.0523456510667194,-0.26804239186322054,47.31957608136779
北海道,111,日高,HbA1c,糖尿病,8578,791,0.0922126369783166,4721,547,0.1158652827790722,3857,244,0.0632616022815659,1.0287539250912268,60.28753925091227
北海道,112,上川中部,HbA1c,糖尿病,58776,4618,0.0785694841431876,30310,3204,0.1057076872319366,28466,1414,0.0496732944565446,-0.1154191270635728,48.84580872936427
北海道,113,上川北部,HbA1c,糖尿病,10306,1027,0.0996506889190762,5503,700,0.1272033436307468,4803,327,0.0680824484697064,1.652540720855315,66.52540720855315
北海道,114,富良野,HbA1c,糖尿病,8627,769,0.0891387504346818,4503,516,0.1145902731512325,4124,253,0.0613482056256062,0.7709646742406228,57.70964674240623
北海道,115,留萌,HbA1c,糖尿病,5869,604,0.102913613903561,3120,392,0.1256410256410256,2749,212,0.0771189523463077,1.926183542537802,69.26183542537802
北海道,116,宗谷,HbA1c,糖尿病,8343,709,0.0849814215510008,4581,515,0.1124208688059375,3762,194,0.0515683147262094,0.4223133225233853,54.22313322523385
北海道,117,北網,HbA1c,糖尿病,27019,2380,0.0880861615899922,14120,1613,0.1142351274787535,12899,767,0.0594619737964183,0.6826900792370703,56.8269007923707
北海道,118,遠紋,HbA1c,糖尿病,10307,1069,0.1037159212185893,5636,702,0.1245564229950319,4671,367,0.0785698993791479,1.993468459777635,69.93468459777635
北海道,119,十勝,HbA1c,糖尿病,58552,5423,0.0926185271211914,30445,3688,0.1211364756117589,28107,1735,0.0617283950617283,1.062793605597981,60.62793605597981
