pref,region_code,region_name,CKD,心血管,糖尿病,composite_score,risk_rank,risk_tier,pref_code,pref_en,topo_id,area
新潟県,1507,佐渡,87.4606343847942,59.109701255841685,63.95306394884683,70.17446652982757,1,高リスク,15,Niigata,JP.NI,中部
沖縄県,4704,宮古,83.22253107598522,57.38285672365065,66.15743686537682,68.92094155500423,2,高リスク,47,Okinawa,JP.ON,九州
高知県,3901,安芸,57.66277103101048,68.47347041676832,70.53143279139178,65.55589141305686,3,高リスク,39,Kochi,JP.KC,四国
青森県,202,八戸地域,57.57338546926405,56.08084893164139,76.19687247667238,63.28370229252594,4,高リスク,02,Aomori,JP.AO,東北
鹿児島県,4609,曽於,61.75378605254019,48.06253170619652,77.2384356925075,62.35158448374807,5,高リスク,46,Kagoshima,JP.KS,九州
沖縄県,4705,八重山,69.66080075665899,52.140741240765735,65.24700234690289,62.349514781442544,6,高リスク,47,Okinawa,JP.ON,九州
鹿児島県,4612,奄美,72.70825393635025,53.98718501280833,59.60569004755944,62.100376332239335,7,高リスク,46,Kagoshima,JP.KS,九州
北海道,115,留萌,57.75911847472341,54.107405602630806,74.41364680319116,62.09339029351512,8,高リスク,01,Hokkaido,JP.HK,北海道
茨城県,802,日立,53.302518430244334,64.00676193222964,67.59796510700433,61.635748489826106,9,高リスク,08,Ibaraki,JP.IB,関東
石川県,1704,能登北部,56.591147350097074,60.71105533432883,65.31092042226716,60.87104103556436,10,高リスク,17,Ishikawa,JP.IS,中部
三重県,2404,東紀州,54.812533674311936,61.70998526095238,65.71337216231603,60.74529703252679,11,高リスク,24,Mie,JP.ME,近畿
沖縄県,4701,北部,52.970846611657166,66.12917793470893,62.971759940445146,60.69059482893709,12,高リスク,47,Okinawa,JP.ON,九州
北海道,102,南檜山,50.61079891043806,53.30743240042001,72.68109341812453,58.86644157632753,13,高リスク,01,Hokkaido,JP.HK,北海道
高知県,3904,幡多,61.938490060379166,53.95817540986613,59.9516538125239,58.61610642758973,14,高リスク,39,Kochi,JP.KC,四国
北海道,120,釧路,61.97340207918773,54.65088141620851,59.20462697863867,58.6096368246783,15,高リスク,01,Hokkaido,JP.HK,北海道
鹿児島県,4611,熊毛,58.253007733323855,58.13148671839386,59.11710136918268,58.50053194030013,16,高リスク,46,Kagoshima,JP.KS,九州
徳島県,3605,西部,63.749437963936685,52.07749621362124,57.70080525984159,57.8425798124665,17,高リスク,36,Tokushima,JP.TS,四国
群馬県,1008,沼田,72.93589277787555,47.77427720815918,52.701910597836246,57.80402686129033,18,高リスク,10,Gunma,JP.GM,関東
青森県,205,上十三地域,55.82173500209304,53.437328445238286,62.95221915615535,57.403760867828886,19,高リスク,02,Aomori,JP.AO,東北
静岡県,2202,熱海伊東,63.02662404303807,53.59562561020611,54.43176868805756,57.01800611376725,20,高リスク,22,Shizuoka,JP.SZ,中部
岩手県,306,釜石,49.69980426112255,60.75127308010087,60.521927556373626,56.991001632532345,21,高リスク,03,Iwate,JP.IW,東北
北海道,107,中空知,52.05020737282098,51.27067955052931,67.1093035241161,56.81006348248879,22,高リスク,01,Hokkaido,JP.HK,北海道
福島県,706,相双,41.43491349255029,54.84606140189773,72.99465779202072,56.42521089548958,23,高リスク,07,Fukushima,JP.FS,東北
鹿児島県,4606,出水,55.610547218491845,45.85746094408928,67.79858148105072,56.42219654787728,24,高リスク,46,Kagoshima,JP.KS,九州
鹿児島県,4603,南薩,59.26113305589362,46.90974147490277,63.03523816698769,56.402037565928026,25,高リスク,46,Kagoshima,JP.KS,九州
北海道,111,日高,53.72668991483115,54.14121511286815,61.21821529682013,56.36204010817314,26,高リスク,01,Hokkaido,JP.HK,北海道
愛媛県,3803,今治,58.3787891107352,61.66562778376533,48.27088623838006,56.10510104429353,27,高リスク,38,Ehime,JP.EH,四国
山形県,602,最上,40.38795773408352,58.38844579670623,69.49418145951861,56.09019499676946,28,高リスク,06,Yamagata,JP.YT,東北
熊本県,4311,天草,49.50155398552944,51.760734735263206,66.98656511601165,56.082951278934765,29,高リスク,43,Kumamoto,JP.KM,九州
岩手県,309,二戸,45.07897385361384,52.948867327984985,70.01235970695129,56.01340029618336,30,高リスク,03,Iwate,JP.IW,東北
北海道,118,遠紋,44.68853740262534,56.84415804466813,66.10602881489248,55.87957475406199,31,高リスク,01,Hokkaido,JP.HK,北海道
熊本県,4302,宇城,49.9125390457821,50.95577987543891,66.62719883009052,55.83183925043718,32,高リスク,43,Kumamoto,JP.KM,九州
宮城県,409,石巻・登米・気仙沼,45.02510366107034,56.35380695436234,65.79987339256289,55.72626133599852,33,高リスク,04,Miyagi,JP.MG,東北
熊本県,4310,球磨,51.030048853414,45.96321397366141,69.98916354812476,55.6608087917334,34,高リスク,43,Kumamoto,JP.KM,九州
和歌山県,3001,和歌山,59.14638264245828,54.88638446931578,52.65499331409812,55.56258680862405,35,高リスク,30,Wakayama,JP.WK,近畿
福岡県,4010,直方・鞍手,47.85594311398039,53.62703015321402,65.17698023844119,55.55331783521186,36,高リスク,40,Fukuoka,JP.FO,九州
岡山県,3303,高梁・新見,48.92530396408689,52.19907401986474,64.72825365537707,55.2842105464429,37,高リスク,33,Okayama,JP.OY,中国
岩手県,305,気仙,42.47342445760765,65.87422522310575,57.17338204346848,55.17367724139396,38,高リスク,03,Iwate,JP.IW,東北
秋田県,505,由利本荘・にかほ,63.57397945246797,48.92195041677954,52.94797012085198,55.147966663366496,39,高リスク,05,Akita,JP.AK,東北
鹿児島県,4610,肝属,51.09470789255745,47.24585622713537,66.77477066158238,55.03844492709174,40,高リスク,46,Kagoshima,JP.KS,九州
山口県,3506,下関,55.39819382354808,59.81815653963076,49.66933277818371,54.96189438045419,41,高リスク,35,Yamaguchi,JP.YC,中国
新潟県,1505,魚沼,61.95951088818781,56.776046146488525,45.666874573933335,54.80081053620322,42,高リスク,15,Niigata,JP.NI,中部
群馬県,1004,高崎・安中,60.97449871353925,49.59802200794695,53.72432236640528,54.765614362630494,43,高リスク,10,Gunma,JP.GM,関東
福岡県,4008,有明,53.20410744285161,51.014327318631246,59.628810250440665,54.61574833730784,44,高リスク,40,Fukuoka,JP.FO,九州
長崎県,4208,壱岐,40.06749074272834,61.74194899256948,61.46177697441901,54.42373890323895,45,高リスク,42,Nagasaki,JP.NS,九州
千葉県,1208,君津,55.37420861184236,53.49280131328351,54.39234716056457,54.41978569523015,46,高リスク,12,Chiba,JP.CH,関東
愛媛県,3802,新居浜・西条,59.5545782165933,54.88597803499884,48.57367118131893,54.33807581097036,47,高リスク,38,Ehime,JP.EH,四国
愛媛県,3806,宇和島,54.162193810106245,56.695247220071685,52.086796168685055,54.31474573295433,48,高リスク,38,Ehime,JP.EH,四国
群馬県,1009,桐生,58.166780941440535,51.71268966139851,52.82908056313408,54.23618372199104,49,高リスク,10,Gunma,JP.GM,関東
愛知県,2311,東三河北部,48.79540258458007,53.688412978699816,60.17278603612131,54.2188671998004,50,高リスク,23,Aichi,JP.AI,中部
山口県,3508,萩,49.35809376275202,56.86890421274424,56.380615872232646,54.20253794924297,51,高リスク,35,Yamaguchi,JP.YC,中国
秋田県,503,能代・山本,50.85072649366592,50.266964258788775,61.221116188973326,54.11293564714267,52,高リスク,05,Akita,JP.AK,東北
北海道,121,根室,48.89644653488816,61.20234872583584,52.154679136939215,54.08449146588774,53,高リスク,01,Hokkaido,JP.HK,北海道
北海道,103,北渡島檜山,46.83669059714677,57.87109940042772,57.409129939983856,54.03897331251945,54,高リスク,01,Hokkaido,JP.HK,北海道
群馬県,1001,前橋,57.709959199492616,52.492512517486965,51.88753798317055,54.030003233383376,55,高リスク,10,Gunma,JP.GM,関東
奈良県,2905,南和,50.53721878046927,59.86116520811261,51.60506227827889,54.00114875562025,56,高リスク,29,Nara,JP.NR,近畿
島根県,3204,大田,54.03756792271089,48.43241477694781,59.51974438281974,53.99657569415948,57,高リスク,32,Shimane,JP.SM,中国
静岡県,2201,賀茂,44.73618785462469,59.09267764480081,57.99698385128889,53.94194978357146,58,高リスク,22,Shizuoka,JP.SZ,中部
大分県,4405,南部,60.23501325335772,49.06570285873057,52.38302930110963,53.89458180439931,59,高リスク,44,Oita,JP.OT,九州
岩手県,307,宮古,46.95889903978449,57.19993544397392,56.94370736532791,53.70084728302877,60,高リスク,03,Iwate,JP.IW,東北
熊本県,4309,芦北,54.43349706685014,45.2761166366514,61.32211290284394,53.67724220211516,61,高リスク,43,Kumamoto,JP.KM,九州
富山県,1604,砺波,57.55195982161421,49.79322546644133,53.63948353648131,53.661556274845616,62,高リスク,16,Toyama,JP.TY,中部
北海道,101,南渡島,52.06274462364706,55.72426452702218,52.76878146326025,53.51859687130983,63,高リスク,01,Hokkaido,JP.HK,北海道
石川県,1703,能登中部,54.97265739060997,50.12831811510578,55.31303358870664,53.471336364807456,64,高リスク,17,Ishikawa,JP.IS,中部
福岡県,4012,北九州,52.66887085727112,53.855640870943326,53.84796824354623,53.45749332392023,65,高リスク,40,Fukuoka,JP.FO,九州
富山県,1603,高岡,56.594411324020925,49.682081892130526,54.08918879254202,53.455227336231154,66,高リスク,16,Toyama,JP.TY,中部
和歌山県,3006,田辺,54.37837128104053,53.06628406622977,52.64983806041072,53.36483113589367,67,高リスク,30,Wakayama,JP.WK,近畿
秋田県,501,大館・鹿角,52.32923943779093,52.93756814686891,54.603012155374685,53.289939913344845,68,やや高,05,Akita,JP.AK,東北
沖縄県,4702,中部,48.61191225534418,54.85453454491324,56.34637899740096,53.2709419325528,69,やや高,47,Okinawa,JP.ON,九州
青森県,201,津軽地域,53.76256034102606,50.752315191708135,55.26614913001386,53.26034155424935,70,やや高,02,Aomori,JP.AO,東北
山梨県,1903,峡南,50.58149912918911,53.27086611788635,55.82225438760845,53.22487321156131,71,やや高,19,Yamanashi,JP.YN,中部
鹿児島県,4607,姶良・伊佐,52.54072212707892,49.0191587252373,58.11168479295706,53.2238552150911,72,やや高,46,Kagoshima,JP.KS,九州
和歌山県,3007,新宮,53.177453527360285,57.32306401732743,49.12292244642235,53.207813330370016,73,やや高,30,Wakayama,JP.WK,近畿
茨城県,804,鹿行,44.70798560202556,55.11659358289002,59.739377779818085,53.18798565491122,74,やや高,08,Ibaraki,JP.IB,関東
熊本県,4303,有明,47.70653197402586,49.88174690686815,61.842651689492655,53.143643523462224,75,やや高,43,Kumamoto,JP.KM,九州
愛知県,2302,海部,56.9907738676737,54.80285500034272,47.624265381584,53.13929808320014,76,やや高,23,Aichi,JP.AI,中部
愛媛県,3801,宇摩,54.31686149278043,54.04712243686959,50.764282512386536,53.042755480678856,77,やや高,38,Ehime,JP.EH,四国
鹿児島県,4605,川薩,55.02008354453511,46.08340431613145,58.00738275419107,53.0369568716192,78,やや高,46,Kagoshima,JP.KS,九州
広島県,3407,備北,47.81864863182047,45.78717107769533,65.34633401131633,52.98405124027738,79,やや高,34,Hiroshima,JP.HS,中国
和歌山県,3002,那賀,56.936843478811255,51.93722432408135,50.04866265125718,52.9742434847166,80,やや高,30,Wakayama,JP.WK,近畿
岩手県,308,久慈,45.0350630518793,51.523788607148354,62.336177711431,52.96500979015288,81,やや高,03,Iwate,JP.IW,東北
北海道,116,宗谷,50.00818914085811,52.72137713086144,55.9168570270454,52.88214109958832,82,やや高,01,Hokkaido,JP.HK,北海道
北海道,117,北網,51.0582278758306,51.43587975352993,56.0814025005871,52.85850337664922,83,やや高,01,Hokkaido,JP.HK,北海道
大分県,4406,豊肥,58.36800050970994,38.05109177223444,62.04414702054879,52.821079767497714,84,やや高,44,Oita,JP.OT,九州
千葉県,1209,市原,54.73116830586545,50.7710677636381,52.75179777662497,52.751344615376176,85,やや高,12,Chiba,JP.CH,関東
青森県,206,下北地域,50.38731815903184,49.94189068652574,57.79013765323573,52.7064488329311,86,やや高,02,Aomori,JP.AO,東北
北海道,109,西胆振,44.53386572005373,56.3175152793917,56.92343955357648,52.591606851007306,87,やや高,01,Hokkaido,JP.HK,北海道
徳島県,3601,東部,65.22595181141487,48.17405199378703,44.368469252881525,52.58949101936114,88,やや高,36,Tokushima,JP.TS,四国
熊本県,4304,鹿本,49.09693544929212,48.59672985846798,59.9882059928463,52.56062376686881,89,やや高,43,Kumamoto,JP.KM,九州
群馬県,1002,渋川,55.75186209663568,50.676282543046526,51.057892246186405,52.495345628622864,90,やや高,10,Gunma,JP.GM,関東
鹿児島県,4601,鹿児島,55.10411161374711,46.50914106067444,55.86787062379907,52.493707766073534,91,やや高,46,Kagoshima,JP.KS,九州
群馬県,1007,吾妻,54.51126138299268,52.98713229879394,49.40276175427637,52.30038514535433,92,やや高,10,Gunma,JP.GM,関東
高知県,3903,高幡,53.51358240617485,48.95625226663738,54.31420205330663,52.26134557537296,93,やや高,39,Kochi,JP.KC,四国
岡山県,3304,真庭,49.55293527281704,49.4233871764496,57.798084799144576,52.2581357494704,94,やや高,33,Okayama,JP.OY,中国
山梨県,1904,富士・東部,49.20590537443712,56.77664737024942,50.74292091250155,52.24182455239603,95,やや高,19,Yamanashi,JP.YN,中部
高知県,3902,中央,57.21370021184435,46.97728866507077,52.23879231131951,52.14326039607821,96,やや高,39,Kochi,JP.KC,四国
島根県,3205,浜田,55.4402340827399,45.35390587161539,55.46028352974732,52.0848078280342,97,やや高,32,Shimane,JP.SM,中国
広島県,3403,呉,52.18165918553504,55.0866286073263,48.883927155892366,52.050738316251234,98,やや高,34,Hiroshima,JP.HS,中国
徳島県,3603,南部,56.923329640783344,52.47379047517411,46.70503919901421,52.03405310499056,99,やや高,36,Tokushima,JP.TS,四国
熊本県,4306,阿蘇,45.112578641233085,46.43197026883514,64.48207276435791,52.00887389147538,100,やや高,43,Kumamoto,JP.KM,九州
北海道,113,上川北部,50.04797093349141,45.76011461664085,60.17762350320137,51.9952363511112,101,やや高,01,Hokkaido,JP.HK,北海道
山口県,3505,宇部・小野田,53.34636339181803,54.80704096943761,47.71550598727674,51.95630344951079,102,やや高,35,Yamaguchi,JP.YC,中国
茨城県,809,古河・坂東,43.41339669177103,52.50343756421431,59.885978446409446,51.93427090079825,103,やや高,08,Ibaraki,JP.IB,関東
福岡県,4011,田川,48.88521956572788,49.24016046829591,57.59574939809724,51.90704314404034,104,やや高,40,Fukuoka,JP.FO,九州
青森県,204,西北五地域,51.66208167677961,52.04924688847024,51.826078286861446,51.8458022840371,105,やや高,02,Aomori,JP.AO,東北
宮崎県,4504,日南串間,52.36124324238797,50.53373746363112,52.60587558787752,51.833618764632206,106,やや高,45,Miyazaki,JP.MZ,九州
秋田県,506,大仙・仙北,45.538595185327786,51.32623116880163,58.62562111872164,51.83014915761702,107,やや高,05,Akita,JP.AK,東北
宮崎県,4505,西諸,47.59307527950397,47.57550931780091,60.28147203956706,51.816685545623976,108,やや高,45,Miyazaki,JP.MZ,九州
和歌山県,3003,橋本,52.7342530804936,52.90562214452324,49.70924503170976,51.78304008557552,109,やや高,30,Wakayama,JP.WK,近畿
佐賀県,4103,北部,50.00975482876649,40.72602428961105,64.57231766137693,51.769365593251486,110,やや高,41,Saga,JP.SG,九州
群馬県,1005,藤岡,55.69100337510695,48.36450804456633,51.18423395494994,51.74658179154107,111,やや高,10,Gunma,JP.GM,関東
茨城県,805,土浦,47.09652159983776,51.63110864339309,56.45449854876054,51.72737626399712,112,やや高,08,Ibaraki,JP.IB,関東
栃木県,906,両毛,49.70363280243696,54.76598316069697,50.56042554925246,51.6766805041288,113,やや高,09,Tochigi,JP.TC,関東
