pref_code,pref,pref_en,topo_id,area,composite_mean,composite_max,composite_min,n_regions,n_high_risk,糖尿病_mean,CKD_mean,心血管_mean,pref_rank
47,沖縄県,Okinawa,JP.ON,九州,59.096130095303195,68.92094155500423,50.24865737857931,5,3,60.53932092908967,60.88877628997575,55.86029306684414,1
39,高知県,Kochi,JP.KC,四国,57.144150953024436,65.55589141305686,52.14326039607821,4,2,59.259020242135456,57.58213592735221,54.59129668958565,2
46,鹿児島県,Kagoshima,JP.KS,九州,56.61885462777427,62.35158448374807,52.493707766073534,9,6,62.83963950997973,57.927372574946475,49.08955179839659,3
02,青森県,Aomori,JP.AO,東北,54.81392091912475,63.28370229252594,50.38346968317614,6,2,59.635938702998295,53.569046003511296,51.236778050864665,4
36,徳島県,Tokushima,JP.TS,四国,54.15537464560607,57.8425798124665,52.03405310499056,3,1,49.591437903912436,61.9662398053783,50.90844622752746,5
17,石川県,Ishikawa,JP.IS,中部,53.332769107008865,60.87104103556436,49.266852057940646,4,2,52.751988302770485,56.40990319279334,50.83641582546279,6
01,北海道,Hokkaido,JP.HK,北海道,53.065936470503814,62.09339029351512,44.49473110475049,21,9,57.53513616175495,49.80042594707385,51.862247302682654,7
43,熊本県,Kumamoto,JP.KM,九州,52.80128001316351,56.082951278934765,48.95641433171135,10,4,61.233553651136184,48.896116151023406,48.274170237330964,8
38,愛媛県,Ehime,JP.EH,四国,52.73922263800542,56.10510104429353,48.49178855066455,6,3,48.53532716829675,54.887673788371245,54.79466695734828,9
30,和歌山県,Wakayama,JP.WK,近畿,52.68606488059381,55.56258680862405,50.92297919320685,7,2,51.54950530309919,53.95676616264795,52.551923176034315,10
10,群馬県,Gunma,JP.GM,関東,52.66723994281608,57.80402686129033,48.06617634183386,10,4,51.33244415577485,56.94556116761855,49.72371450505486,11
03,岩手県,Iwate,JP.IW,東北,52.48679645886046,56.991001632532345,48.433080516472266,9,4,55.80433634199052,46.40834856661435,55.24770446797652,12
08,茨城県,Ibaraki,JP.IB,関東,51.59989667325339,61.635748489826106,45.664107154083815,9,1,56.41961027570209,45.58229729772467,52.7977824463334,13
16,富山県,Toyama,JP.TY,中部,51.46606719900971,53.661556274845616,49.03459030778087,4,2,49.81458076494947,53.926767709428006,50.656853122651654,14
24,三重県,Mie,JP.ME,近畿,51.4242586194542,60.74529703252679,46.28515040014776,4,1,52.42305240484356,49.48357855917576,52.36614489434328,15
04,宮城県,Miyagi,JP.MG,東北,51.35251764086398,55.72626133599852,47.74559296580781,4,1,59.45122774462922,43.3021279323605,51.304197245602204,16
15,新潟県,Niigata,JP.NI,中部,51.27923484156816,70.17446652982757,40.12555436472377,7,2,47.83158108237436,56.01447965928232,49.99164378304779,17
33,岡山県,Okayama,JP.OY,中国,51.244404449320086,55.2842105464429,48.51904475508002,5,1,54.49655064164945,48.49107773990621,50.74558496640463,18
05,秋田県,Akita,JP.AK,東北,51.04576971530491,55.147966663366496,46.70894147873216,8,2,51.32490328951767,51.06806354737126,50.74434230902579,19
19,山梨県,Yamanashi,JP.YN,中部,50.91546169592166,53.22487321156131,48.566660342167246,4,0,49.266834716838176,50.771258798417705,52.7082915725091,20
41,佐賀県,Saga,JP.SG,九州,50.80838719576593,51.769365593251486,50.01479568729994,5,0,58.932167373581024,47.79668559259831,45.696308621118476,21
