pref_code,pref,pref_en,area,topo_id,region_code,region_name,domain,indicator,n_total,n_risk,risk_rate,risk_rate_pct,n_male,n_risk_male,risk_rate_male,risk_rate_male_pct,n_female,n_risk_female,risk_rate_female,risk_rate_female_pct
01,北海道,Hokkaido,北海道,JP.HK,101,南渡島,CKD,eGFR,5817,685,0.1177582946536015,11.78,2574,319,0.1239316239316239,12.39,3243,366,0.1128584643848288,11.29
01,北海道,Hokkaido,北海道,JP.HK,101,南渡島,CKD,尿蛋白,69967,2508,0.0358454700072891,3.58,36963,1694,0.0458296133971809,4.58,33004,814,0.0246636771300448,2.47
01,北海道,Hokkaido,北海道,JP.HK,101,南渡島,心血管,LDL,70219,20476,0.2916019880659081,29.16,36945,10620,0.2874543239951279,28.75,33274,9856,0.2962072489030474,29.62
01,北海道,Hokkaido,北海道,JP.HK,101,南渡島,心血管,中性脂肪,70240,13144,0.187129840546697,18.71,36960,8810,0.2383658008658008,23.84,33280,4334,0.1302283653846153,13.02
01,北海道,Hokkaido,北海道,JP.HK,101,南渡島,心血管,収縮期血圧,70349,16382,0.232867560306472,23.29,37053,9901,0.2672118317005371,26.72,33296,6481,0.1946480057664584,19.46
01,北海道,Hokkaido,北海道,JP.HK,101,南渡島,心血管,心電図,1998,511,0.2557557557557557,25.58,1377,362,0.2628903413217138,26.29,621,149,0.2399355877616747,23.99
01,北海道,Hokkaido,北海道,JP.HK,101,南渡島,糖尿病,HbA1c,45219,3479,0.0769366859063667,7.69,22111,2305,0.1042467550088191,10.42,23108,1174,0.0508049160463908,5.08
01,北海道,Hokkaido,北海道,JP.HK,101,南渡島,糖尿病,空腹時血糖,48427,3512,0.0725215272471968,7.25,27290,2732,0.1001099303774276,10.01,21137,780,0.036902114775039,3.69
01,北海道,Hokkaido,北海道,JP.HK,102,南檜山,CKD,eGFR,587,64,0.1090289608177172,10.9,353,40,0.1133144475920679,11.33,234,24,0.1025641025641025,10.26
01,北海道,Hokkaido,北海道,JP.HK,102,南檜山,CKD,尿蛋白,3955,142,0.0359039190897597,3.59,2233,103,0.0461262875055978,4.61,1722,39,0.0226480836236933,2.26
01,北海道,Hokkaido,北海道,JP.HK,102,南檜山,心血管,LDL,3965,1072,0.2703656998738966,27.04,2233,603,0.2700403045230631,27.0,1732,469,0.2707852193995381,27.08
01,北海道,Hokkaido,北海道,JP.HK,102,南檜山,心血管,中性脂肪,3969,783,0.1972789115646258,19.73,2235,533,0.2384787472035794,23.85,1734,250,0.1441753171856978,14.42
01,北海道,Hokkaido,北海道,JP.HK,102,南檜山,心血管,収縮期血圧,3971,1033,0.2601359858977587,26.01,2242,644,0.2872435325602141,28.72,1729,389,0.2249855407750144,22.5
01,北海道,Hokkaido,北海道,JP.HK,102,南檜山,心血管,心電図,167,16,0.0958083832335329,9.58,111,16,0.1441441441441441,14.41,56,0,0.0,0.0
01,北海道,Hokkaido,北海道,JP.HK,102,南檜山,糖尿病,HbA1c,2711,260,0.0959055699004057,9.59,1469,184,0.1252552756977535,12.53,1242,76,0.0611916264090177,6.12
01,北海道,Hokkaido,北海道,JP.HK,102,南檜山,糖尿病,空腹時血糖,3218,310,0.09633312616532,9.63,1833,230,0.1254773595199127,12.55,1385,80,0.0577617328519855,5.78
01,北海道,Hokkaido,北海道,JP.HK,103,北渡島檜山,CKD,eGFR,1052,95,0.0903041825095057,9.03,650,62,0.0953846153846153,9.54,402,33,0.0820895522388059,8.21
01,北海道,Hokkaido,北海道,JP.HK,103,北渡島檜山,CKD,尿蛋白,5553,194,0.0349360705924725,3.49,3121,155,0.049663569368792,4.97,2432,39,0.0160361842105263,1.6
01,北海道,Hokkaido,北海道,JP.HK,103,北渡島檜山,心血管,LDL,5597,1561,0.2788994103984277,27.89,3124,889,0.2845710627400768,28.46,2473,672,0.2717347351395067,27.17
01,北海道,Hokkaido,北海道,JP.HK,103,北渡島檜山,心血管,中性脂肪,5601,1058,0.1888948402071058,18.89,3127,731,0.2337703869523505,23.38,2474,327,0.1321746160064672,13.22
01,北海道,Hokkaido,北海道,JP.HK,103,北渡島檜山,心血管,収縮期血圧,5578,1348,0.2416636787378989,24.17,3127,826,0.2641509433962264,26.42,2451,522,0.2129742962056303,21.3
01,北海道,Hokkaido,北海道,JP.HK,103,北渡島檜山,心血管,心電図,0,0,,,0,0,,,0,0,,
01,北海道,Hokkaido,北海道,JP.HK,103,北渡島檜山,糖尿病,HbA1c,4457,372,0.0834642135965896,8.35,2491,271,0.1087916499397832,10.88,1966,101,0.0513733468972533,5.14
